Player Name ,ODI Year : Run,Total Carrier Runs
BC Hollioake,"year 1997: Run 63
year 1998: Run 55
year 1999: Run 4
year 2001: Run 137
year 2002: Run 50
",309
GW Humpage,"year 1981: Run 6
",11
N Hussain,"year 1989: Run 2
year 1990: Run 15
year 1994: Run 26
year 1996: Run 49
year 1997: Run 63
year 1998: Run 101
year 1999: Run 487
year 2000: Run 463
year 2001: Run 198
year 2002: Run 801
year 2003: Run 127
",2332
AP Igglesden,"year 1994: Run 18
",20
R Illingworth,"year 1971: Run 1
year 1973: Run 4
",5
RK Illingworth,"year 1991: Run 9
year 1992: Run 31
year 1993: Run 21
year 1996: Run 7
",68
RC Irani,"year 1996: Run 69
year 1997: Run 9
year 2002: Run 215
year 2003: Run 67
",360
RD Jackman,"year 1974: Run -
year 1976: Run 14
year 1980: Run 6
year 1981: Run 16
year 1983: Run 18
",54
JA Jameson,"year 1973: Run 28
year 1975: Run 32
",60
PW Jarvis,"year 1988: Run 5
year 1993: Run 26
",31
TE Jesty,"year 1983: Run 52*
",127
RL Johnson,"year 2003: Run 10
",16
GO Jones,"year 2004: Run 264
year 2005: Run 301
year 2006: Run 250
year 2014: Run 47
",815
SP Jones,"year 2004: Run -
year 2005: Run 1
",1
CJ Jordan,"year 2013: Run 14
year 2014: Run 101
year 2015: Run 22
year 2016: Run 32
",169
EC Joyce,"year 2006: Run 31
year 2007: Run 440
year 2011: Run 306
year 2012: Run 158
year 2013: Run 317
year 2014: Run 25
year 2015: Run 467
year 2016: Run 366
year 2017: Run 239
year 2018: Run 273
",471
RWT Key,"year 2003: Run 11
year 2004: Run 19
",54
C Kieswetter,"year 2010: Run 320
year 2011: Run 489
year 2012: Run 203
year 2013: Run 42
",1054
RJ Kirtley,"year 2001: Run 1
year 2002: Run 1
year 2003: Run -
year 2004: Run -
",2
NV Knight,"year 1996: Run 277
year 1997: Run 245
year 1998: Run 661
year 1999: Run 437
year 2000: Run 304
year 2001: Run 522
year 2002: Run 852
year 2003: Run 339
",3637
APE Knott,"year 1971: Run 24
year 1972: Run 56
year 1973: Run 12
year 1974: Run 15
year 1975: Run 20
year 1976: Run 48
year 1977: Run 25
",200
AJ Lamb,"year 1982: Run 279
year 1983: Run 648
year 1984: Run 339
year 1985: Run 303
year 1986: Run 186
year 1987: Run 859
year 1988: Run 109
year 1989: Run 349
year 1990: Run 422
year 1991: Run 216
year 1992: Run 300
",4010
W Larkins,"year 1979: Run 7
year 1980: Run 77
year 1989: Run 239
year 1990: Run 228
year 1991: Run 40
",591
DV Lawrence,"year 1991: Run -
",-
JK Lever,"year 1976: Run 1
year 1977: Run 30
year 1978: Run 5
year 1979: Run 1
year 1980: Run 17
year 1981: Run -
year 1982: Run 2
",56
P Lever,"year 1971: Run 4
year 1973: Run -
year 1974: Run 8
year 1975: Run 5
",17
CC Lewis,"year 1990: Run 28
year 1991: Run 0
year 1992: Run 107
year 1993: Run 116
year 1994: Run 64
year 1996: Run 33
year 1998: Run 26
",374
J Lewis,"year 2005: Run 7
year 2006: Run 9
year 2007: Run 34
",50
D Lloyd,"year 1973: Run 8
year 1974: Run 193
year 1975: Run 49
year 1978: Run 34
year 1980: Run 1
",285
GD Lloyd,"year 1996: Run 17
year 1997: Run 22
year 1998: Run 0
",39
TA Lloyd,"year 1984: Run 49
",101
AGR Loudon,"year 2006: Run 0
",0
JD Love,"year 1981: Run 43
",61
MB Loye,"year 2007: Run 45
",142
BW Luckhurst,"year 1975: Run 14
",15
MJ Lumb,"year 2014: Run 106
",165
MA Lynch,"year 1988: Run 6
",8
A McGrath,"year 2003: Run 52
year 2004: Run 12
",166
DL Maddy,"year 1998: Run 1
year 2000: Run 53
",113
SI Mahmood,"year 2004: Run 1
year 2006: Run 82
year 2007: Run 2
year 2009: Run -
",85
DJ Malan,"year 2019: Run 24
",24
DE Malcolm,"year 1990: Run 7
year 1993: Run 2
year 1994: Run -
",9
VJ Marks,"year 1980: Run 9
year 1983: Run 118
year 1984: Run 108
year 1985: Run 50
year 1988: Run -
",285
PJ Martin,"year 1995: Run 4
year 1996: Run 29
year 1998: Run 5
",38
AD Mascarenhas,"year 2007: Run 98
year 2008: Run 52
year 2009: Run 95
",245
MP Maynard,"year 1994: Run 59
year 1996: Run 94
year 2000: Run 3
",156
SC Meaker,"year 2011: Run 1
",2
G Miller,"year 1977: Run 20
year 1978: Run 2
year 1979: Run 4
year 1982: Run 26
year 1983: Run 64
year 1984: Run 20
",136
EJG Morgan,"year 2006: Run 99
year 2007: Run 450
year 2008: Run 51
year 2009: Run 507
year 2010: Run 691
year 2011: Run 443
year 2012: Run 364
year 2013: Run 560
year 2014: Run 560
year 2015: Run 967
year 2016: Run 328
year 2017: Run 781
year 2018: Run 756
year 2019: Run 420
",6233
JE Morris,"year 1990: Run 63*
year 1991: Run 10
",167
MD Moxon,"year 1985: Run 132
year 1988: Run 42
",174
AD Mullally,"year 1996: Run 2
year 1997: Run 20
year 1998: Run 2
year 1999: Run 21
year 2000: Run 19
year 2001: Run 22
",86
P Mustard,"year 2007: Run 28
year 2008: Run 83
",233
PA Nixon,"year 2007: Run 49
",297
CM Old,"year 1973: Run 25
year 1974: Run 44
year 1975: Run 128
year 1977: Run 81
year 1978: Run 35
year 1979: Run 18
year 1980: Run 6
year 1981: Run 1
",338
G Onions,"year 2009: Run 1
",1
C Overton,"year 2018: Run -
",-
MS Panesar,"year 2007: Run 13
",26
SD Parry,"year 2014: Run -
",-
SR Patel,"year 2008: Run 116
year 2011: Run 190
year 2012: Run 101
year 2013: Run 75
",482
KP Pietersen,"year 2004: Run 104
year 2005: Run 784
year 2006: Run 612
year 2007: Run 889
year 2008: Run 658
year 2009: Run 132
year 2010: Run 153
year 2011: Run 571
year 2012: Run 281
year 2013: Run 256
",4422
LE Plunkett,"year 2005: Run 94
year 2006: Run 106
year 2007: Run 95
year 2010: Run -
year 2011: Run 20
year 2015: Run 99
year 2016: Run 31
year 2017: Run 71
year 2018: Run 66
year 2019: Run 2
",584
PI Pocock,"year 1985: Run 4
",4
DR Pringle,"year 1982: Run 34
year 1983: Run 11
year 1984: Run 16
year 1985: Run 17
year 1986: Run 105
year 1987: Run 20
year 1988: Run 81
year 1989: Run 55
year 1990: Run 30
year 1991: Run 1
year 1992: Run 49
year 1993: Run 6
",425
MJ Prior,"year 2004: Run 35
year 2005: Run 94
year 2006: Run 111
year 2007: Run 229
year 2008: Run 168
year 2009: Run 357
year 2010: Run 72
year 2011: Run 216
",1282
NV Radford,"year 1988: Run 0*
",0
CT Radley,"year 1978: Run 117*
",250
MR Ramprakash,"year 1991: Run 6
year 1994: Run 41
year 1995: Run 77
year 1996: Run 60
year 1998: Run 81
year 2001: Run 111
",376
DW Randall,"year 1976: Run 127
year 1977: Run 111
year 1978: Run 73
year 1979: Run 200
year 1980: Run 16
year 1982: Run 30
year 1983: Run 342
year 1984: Run 149
year 1985: Run 19
",1067
WB Rankin,"year 2007: Run 15
year 2008: Run 1
year 2009: Run -
year 2010: Run 9
year 2011: Run 9
year 2012: Run 1
year 2013: Run 5
year 2014: Run -
year 2016: Run 18
year 2017: Run 1
year 2018: Run 6
year 2019: Run 20
",5
AU Rashid,"year 2009: Run 60
year 2015: Run 171
year 2016: Run 96
year 2017: Run 76
year 2018: Run 111
year 2019: Run 29
",543
CMW Read,"year 2000: Run 70
year 2003: Run 84
year 2004: Run 85
year 2006: Run 61
",300
DA Reeve,"year 1991: Run -
year 1992: Run 118
year 1993: Run 107
year 1994: Run 16
year 1996: Run 50
",291
SJ Rhodes,"year 1989: Run 9
year 1994: Run 76
year 1995: Run 22
",107
CJ Richards,"year 1981: Run 0
year 1982: Run 3
year 1986: Run 8
year 1987: Run 129
year 1988: Run 14
",154
RT Robinson,"year 1984: Run 16
year 1985: Run 81
year 1986: Run 78
year 1987: Run 264
year 1988: Run 158
",597
TS Roland-Jones,"year 2017: Run 37*
",37
GRJ Roope,"year 1973: Run 44
year 1977: Run 36
year 1978: Run 93
",173
JE Root,"year 2013: Run 626
year 2014: Run 872
year 2015: Run 723
year 2016: Run 796
year 2017: Run 983
year 2018: Run 946
year 2019: Run 354
",5300
BC Rose,"year 1977: Run 54
",99
JJ Roy,"year 2015: Run 462
year 2016: Run 647
year 2017: Run 533
year 2018: Run 894
year 2019: Run 402
",2938
RC Russell,"year 1987: Run 2
year 1988: Run -
year 1989: Run 35
year 1990: Run 198
year 1991: Run 26
year 1996: Run 120
year 1997: Run 2
year 1998: Run 40
",423
IDK Salisbury,"year 1993: Run 2*
year 1994: Run 5
",7
OA Shah,"year 2001: Run 104
year 2002: Run 132
year 2003: Run 47
year 2006: Run 11
year 2007: Run 408
year 2008: Run 586
year 2009: Run 546
",1834
A Shahzad,"year 2010: Run 5
year 2011: Run 9
",39
K Shuttleworth,"year 1971: Run 7
",7
RJ Sidebottom,"year 2001: Run 2
year 2007: Run 25
year 2008: Run 24
year 2009: Run 82
year 2010: Run -
",133
CEW Silverwood,"year 1996: Run 1
year 1997: Run 16
year 2001: Run -
",17
WN Slack,"year 1986: Run 34
",43
GC Small,"year 1987: Run 26
year 1988: Run 7
year 1989: Run 4
year 1990: Run 41
year 1991: Run 15
year 1992: Run 5
",98
CL Smith,"year 1984: Run 70
",109
DM Smith,"year 1986: Run 10
year 1990: Run 5
",15
MJ Smith,"year 1973: Run 31
year 1974: Run 14
",70
NMK Smith,"year 1996: Run 31
",100
RA Smith,"year 1988: Run 9
year 1989: Run 303
year 1990: Run 475
year 1991: Run 146
year 1992: Run 614
year 1993: Run 521
year 1994: Run 150
year 1996: Run 201
",2419
JN Snape,"year 2001: Run 24*
year 2002: Run 38
",118
JA Snow,"year 1971: Run 2
year 1972: Run 5
year 1973: Run -
year 1975: Run 2
",9
VS Solanki,"year 2000: Run 96
year 2003: Run 277
year 2004: Run 349
year 2005: Run 292
year 2006: Run 83
",1097
DS Steele,"year 1976: Run 8
",8
GB Stevenson,"year 1980: Run 28*
year 1981: Run 8*
",43
AJ Stewart,"year 1989: Run 120
year 1990: Run 256
year 1991: Run 121
year 1992: Run 510
year 1993: Run 271
year 1994: Run 289
year 1995: Run 98
year 1996: Run 403
year 1997: Run 621
year 1998: Run 324
year 1999: Run 365
year 2000: Run 553
year 2001: Run 169
year 2002: Run 290
year 2003: Run 287
",4677
BA Stokes,"year 2011: Run 30
year 2013: Run 57
year 2014: Run 195
year 2015: Run 262
year 2016: Run 490
year 2017: Run 616
year 2018: Run 313
year 2019: Run 254
",2217
OP Stone,"year 2018: Run 9*
",9
AJ Strauss,"year 2003: Run 3
year 2004: Run 655
year 2005: Run 713
year 2006: Run 592
year 2007: Run 276
year 2009: Run 647
year 2010: Run 806
year 2011: Run 513
",4205
GP Swann,"year 2000: Run -
year 2007: Run 83
year 2008: Run 63
year 2009: Run 81
year 2010: Run 68
year 2011: Run 160
year 2012: Run 13
year 2013: Run 32
",500
CJ Tavare,"year 1980: Run 87
year 1982: Run 173
year 1983: Run 456
year 1984: Run 4
",720
JP Taylor,"year 1993: Run 1
",1
LB Taylor,"year 1986: Run 1*
",1
RW Taylor,"year 1973: Run 11
year 1974: Run 26
year 1975: Run 23
year 1977: Run -
year 1978: Run 12
year 1979: Run 32
year 1982: Run 9
year 1983: Run 7
year 1984: Run 10
",130
JWA Taylor,"year 2011: Run 1
year 2013: Run 25
year 2014: Run 170
year 2015: Run 691
",887
JG Thomas,"year 1986: Run 0
year 1987: Run 1
",1
GP Thorpe,"year 1993: Run 89
year 1994: Run 106
year 1995: Run 158
year 1996: Run 666
year 1997: Run 459
year 1998: Run 4
year 1999: Run 304
year 2000: Run 239
year 2001: Run 95
year 2002: Run 260
",2380
FJ Titmus,"year 1975: Run 11
",11
RW Tolchard,"year 1979: Run -
",-
RJW Topley,"year 2015: Run 6
year 2016: Run 1*
",7
JC Tredwell,"year 2010: Run 2
year 2011: Run 25
year 2012: Run 7
year 2013: Run 23
year 2014: Run 106
year 2015: Run -
",163
CT Tremlett,"year 2005: Run 8
year 2007: Run 27
year 2008: Run 3
year 2011: Run 12
",50
ME Trescothick,"year 2000: Run 441
year 2001: Run 442
year 2002: Run 950
year 2003: Run 867
year 2004: Run 670
year 2005: Run 553
year 2006: Run 412
",4335
IJL Trott,"year 2009: Run 148
year 2010: Run 335
year 2011: Run 1315
year 2012: Run 410
year 2013: Run 611
",2819
JO Troughton,"year 2003: Run 20
",36
AJ Tudor,"year 2002: Run 6
",9
PCR Tufnell,"year 1990: Run 2
year 1991: Run 8
year 1992: Run 3
year 1994: Run 2
year 1997: Run -
",15
SD Udal,"year 1994: Run 17
year 1995: Run 18
year 2005: Run 0
",35
DL Underwood,"year 1973: Run 2
year 1974: Run 17
year 1975: Run 3
year 1976: Run 22
year 1977: Run 5
year 1979: Run -
year 1981: Run -
year 1982: Run 4
",53
MP Vaughan,"year 2001: Run 42
year 2002: Run 253
year 2003: Run 587
year 2004: Run 557
year 2005: Run 291
year 2007: Run 252
",1982
JM Vince,"year 2015: Run -
year 2016: Run 104
year 2018: Run 27
year 2019: Run 94
",225
SL Watkin,"year 1994: Run 4
",4
M Watkinson,"year 1996: Run -
",-
AP Wells,"year 1995: Run 15
",15
CM Wells,"year 1985: Run 17
",22
VJ Wells,"year 1999: Run 39
",141
AG Wharf,"year 2004: Run 9
year 2005: Run 3*
",19
JJ Whitaker,"year 1987: Run 44*
",48
C White,"year 1994: Run 0
year 1996: Run 113
year 1997: Run 74
year 2000: Run 146
year 2001: Run 4
year 2002: Run 152
year 2003: Run 79
",568
DJ Willey,"year 2015: Run 40
year 2016: Run 44
year 2017: Run 43
year 2018: Run 118
year 2019: Run 34
",279
P Willey,"year 1977: Run 7
year 1979: Run 244
year 1980: Run 124
year 1981: Run 100
year 1985: Run 12
year 1986: Run 51
",538
RGD Willis,"year 1973: Run 9
year 1974: Run -
year 1977: Run 7
year 1978: Run -
year 1979: Run 27
year 1980: Run -
year 1981: Run 3
year 1982: Run 2
year 1983: Run 21
year 1984: Run 14
",83
CR Woakes,"year 2011: Run 39
year 2012: Run 33
year 2013: Run 69
year 2014: Run 157
year 2015: Run 155
year 2016: Run 212
year 2017: Run 169
year 2018: Run 205
year 2019: Run 13
",1052
B Wood,"year 1972: Run 19
year 1975: Run 130
year 1976: Run 38
year 1978: Run 34
year 1982: Run 93
",314
MA Wood,"year 2015: Run 26
year 2016: Run 8
year 2017: Run 3
year 2018: Run 7
year 2019: Run 1
",45
RA Woolmer,"year 1972: Run 9
year 1974: Run -
year 1976: Run 12
",21
LJ Wright,"year 2007: Run 50
year 2008: Run 179
year 2009: Run 199
year 2010: Run 172
year 2011: Run 101
year 2013: Run 5
year 2014: Run 1
",707
MH Yardy,"year 2006: Run 30
year 2007: Run 19
year 2010: Run 121
year 2011: Run 156
",326
CL Cairns,"year 1991: Run 11
year 1992: Run 72
year 1993: Run 66
year 1994: Run 211
year 1995: Run 437
year 1996: Run 507
year 1997: Run 414
year 1998: Run 391
year 1999: Run 579
year 2000: Run 523
year 2001: Run 5
year 2002: Run 398
year 2003: Run 585
year 2004: Run 429
year 2005: Run 282
year 2006: Run 40
",69
R Dravid,"year 1996: Run 475
year 1997: Run 951
year 1998: Run 283
year 1999: Run 1761
year 2000: Run 980
year 2001: Run 740
year 2002: Run 913
year 2003: Run 623
year 2004: Run 1025
year 2005: Run 1092
year 2006: Run 919
year 2007: Run 823
year 2009: Run 180
year 2011: Run 124
",26
SP Fleming,"year 1994: Run 348
year 1995: Run 514
year 1996: Run 708
year 1997: Run 423
year 1998: Run 806
year 1999: Run 332
year 2000: Run 577
year 2001: Run 457
year 2002: Run 772
year 2003: Run 681
year 2004: Run 921
year 2005: Run 439
year 2006: Run 390
year 2007: Run 669
",30
A Flintoff,"year 1999: Run 100
year 2000: Run 206
year 2001: Run 144
year 2002: Run 397
year 2003: Run 631
year 2004: Run 633
year 2005: Run 490
year 2006: Run 102
year 2007: Run 387
year 2008: Run 301
year 2009: Run 3
",42
CH Gayle,"year 1999: Run 58
year 2000: Run 273
year 2001: Run 722
year 2002: Run 1097
year 2003: Run 981
year 2004: Run 722
year 2005: Run 563
year 2006: Run 1217
year 2007: Run 611
year 2008: Run 632
year 2009: Run 553
year 2010: Run 456
year 2011: Run 202
year 2012: Run 345
year 2013: Run 311
year 2014: Run 67
year 2015: Run 411
year 2017: Run 199
year 2018: Run 307
year 2019: Run 424
",54
AC Gilchrist,"year 1996: Run 18
year 1997: Run 286
year 1998: Run 831
year 1999: Run 1241
year 2000: Run 726
year 2001: Run 746
year 2002: Run 836
year 2003: Run 1098
year 2004: Run 879
year 2005: Run 892
year 2006: Run 810
year 2007: Run 934
year 2008: Run 322
",24
D Gough,"year 1994: Run 10
year 1995: Run 68
year 1996: Run 95
year 1997: Run 30
year 1998: Run 18
year 1999: Run 108
year 2000: Run 30
year 2001: Run 56
year 2002: Run 40
year 2003: Run 14
year 2004: Run 45
year 2005: Run 76
year 2006: Run 19
",-
ML Hayden,"year 1993: Run 102
year 1994: Run 184
year 2000: Run 191
year 2001: Run 311
year 2002: Run 878
year 2003: Run 1037
year 2004: Run 946
year 2005: Run 482
year 2006: Run 103
year 2007: Run 1601
year 2008: Run 298
",2
JH Kallis,"year 1996: Run 275
year 1997: Run 519
year 1998: Run 812
year 1999: Run 944
year 2000: Run 1300
year 2001: Run 848
year 2002: Run 1204
year 2003: Run 595
year 2004: Run 770
year 2005: Run 687
year 2006: Run 373
year 2007: Run 987
year 2008: Run 557
year 2009: Run 538
year 2010: Run 593
year 2011: Run 370
year 2012: Run 126
year 2013: Run 76
year 2014: Run 5
",11
BC Lara,"year 1990: Run 11
year 1991: Run 263
year 1992: Run 794
year 1993: Run 1349
year 1994: Run 479
year 1995: Run 806
year 1996: Run 692
year 1997: Run 755
year 1998: Run 386
year 1999: Run 631
year 2000: Run 359
year 2001: Run 732
year 2002: Run 292
year 2003: Run 888
year 2004: Run 484
year 2005: Run 438
year 2006: Run 660
year 2007: Run 386
",52
GD McGrath,"year 1993: Run 0
year 1994: Run 14
year 1995: Run 11
year 1996: Run 18
year 1997: Run 2
year 1998: Run -
year 1999: Run 7
year 2000: Run 17
year 2001: Run 1
year 2002: Run 18
year 2003: Run 6
year 2004: Run 0
year 2005: Run 8
year 2006: Run 7
year 2007: Run 6
",0
M Muralitharan,"year 1993: Run 4
year 1994: Run 2
year 1995: Run 23
year 1996: Run 28
year 1997: Run 38
year 1998: Run 40
year 1999: Run 50
year 2000: Run 4
year 2001: Run 81
year 2002: Run 32
year 2003: Run 72
year 2004: Run 11
year 2005: Run 31
year 2006: Run 64
year 2007: Run 11
year 2008: Run 56
year 2009: Run 113
year 2010: Run 7
year 2011: Run 7
",-
M Ntini,"year 1998: Run -
year 2000: Run 5
year 2001: Run 1
year 2002: Run 20
year 2003: Run 45
year 2004: Run 63
year 2005: Run 11
year 2006: Run 4
year 2007: Run 37
year 2008: Run 2
year 2009: Run 11
",0*
KP Pietersen,"year 2004: Run 104
year 2005: Run 784
year 2006: Run 612
year 2007: Run 889
year 2008: Run 658
year 2009: Run 132
year 2010: Run 153
year 2011: Run 571
year 2012: Run 281
year 2013: Run 256
",16
SM Pollock,"year 1996: Run 160
year 1997: Run 438
year 1998: Run 289
year 1999: Run 278
year 2000: Run 185
year 2001: Run 110
year 2002: Run 362
year 2003: Run 170
year 2004: Run 278
year 2005: Run 286
year 2006: Run 379
year 2007: Run 541
year 2008: Run 43
",15
RT Ponting,"year 1995: Run 196
year 1996: Run 733
year 1997: Run 75
year 1998: Run 1166
year 1999: Run 1038
year 2000: Run 510
year 2001: Run 828
year 2002: Run 882
year 2003: Run 1154
year 2004: Run 840
year 2005: Run 1191
year 2006: Run 798
year 2007: Run 1424
year 2008: Run 278
year 2009: Run 1198
year 2010: Run 771
year 2011: Run 604
year 2012: Run 18
",115
KC Sangakkara,"year 2000: Run 382
year 2001: Run 264
year 2002: Run 829
year 2003: Run 695
year 2004: Run 1010
year 2005: Run 746
year 2006: Run 1333
year 2007: Run 758
year 2008: Run 942
year 2009: Run 919
year 2010: Run 726
year 2011: Run 1127
year 2012: Run 1184
year 2013: Run 1201
year 2014: Run 1256
year 2015: Run 862
",64
V Sehwag,"year 1999: Run 1
year 2000: Run 19
year 2001: Run 439
year 2002: Run 1130
year 2003: Run 871
year 2004: Run 671
year 2005: Run 1017
year 2006: Run 608
year 2007: Run 475
year 2008: Run 893
year 2009: Run 810
year 2010: Run 446
year 2011: Run 645
year 2012: Run 217
year 2013: Run 31
",37
Shahid Afridi,"year 1996: Run 288
year 1997: Run 867
year 1998: Run 449
year 1999: Run 465
year 2000: Run 604
year 2001: Run 455
year 2002: Run 743
year 2003: Run 16
year 2004: Run 238
year 2005: Run 640
year 2006: Run 115
year 2007: Run 359
year 2008: Run 278
year 2009: Run 313
year 2010: Run 601
year 2011: Run 462
year 2012: Run 182
year 2013: Run 441
year 2014: Run 354
year 2015: Run 194
",16
Shoaib Akhtar,"year 1998: Run 44
year 1999: Run 12
year 2000: Run 25
year 2001: Run 5
year 2002: Run 12
year 2003: Run 151
year 2004: Run 47
year 2005: Run 36
year 2006: Run 12
year 2007: Run 1
year 2009: Run 28
year 2010: Run 18
year 2011: Run 3
",10*
DL Vettori,"year 1997: Run 71
year 1998: Run 65
year 1999: Run 72
year 2000: Run 48
year 2001: Run 86
year 2002: Run 139
year 2003: Run 107
year 2004: Run 135
year 2005: Run 257
year 2006: Run 221
year 2007: Run 110
year 2008: Run 145
year 2009: Run 259
year 2010: Run 324
year 2011: Run 66
year 2013: Run 5
year 2014: Run 41
year 2015: Run 102
",27*
SK Warne,"year 1993: Run 6
year 1994: Run 178
year 1995: Run 50
year 1996: Run 49
year 1997: Run 119
year 1998: Run 67
year 1999: Run 204
year 2000: Run 96
year 2001: Run 66
year 2002: Run 181
year 2003: Run 0
year 2005: Run 2
",2*
VR Aaron,"year 2011: Run 6
year 2014: Run 2
",8
S Abid Ali,"year 1974: Run 17
year 1975: Run 70
",93
AB Agarkar,"year 1998: Run 177
year 1999: Run 43
year 2000: Run 221
year 2001: Run 74
year 2002: Run 261
year 2003: Run 104
year 2004: Run 179
year 2005: Run 61
year 2006: Run 78
year 2007: Run 71
",1269
KK Ahmed,"year 2018: Run 3
year 2019: Run 5
",9
M Amarnath,"year 1975: Run 1
year 1976: Run 29
year 1978: Run 85
year 1979: Run 16
year 1982: Run 71
year 1983: Run 468
year 1984: Run 6
year 1985: Run 64
year 1986: Run 309
year 1987: Run 33
year 1988: Run 584
year 1989: Run 258
",1924
S Amarnath,"year 1978: Run 62
",100
PK Amre,"year 1991: Run 130
year 1992: Run 244
year 1993: Run 120
year 1994: Run 19
",513
SA Ankola,"year 1989: Run 7
year 1993: Run 7
year 1994: Run 0
year 1996: Run -
year 1997: Run 20
",34
Arshad Ayub,"year 1987: Run 10
year 1988: Run 66
year 1989: Run 34
year 1990: Run 6
",116
B Arun,"year 1986: Run 8
year 1987: Run 7*
",21
J Arun Lal,"year 1982: Run 15
year 1983: Run 16
year 1987: Run 7
year 1988: Run 77
year 1989: Run 7
",122
R Ashwin,"year 2010: Run 38
year 2011: Run 122
year 2012: Run 135
year 2013: Run 167
year 2014: Run 147
year 2015: Run 48
year 2016: Run 1
year 2017: Run 17
",675
KBJ Azad,"year 1980: Run 34
year 1981: Run 92
year 1983: Run 56
year 1984: Run 56
year 1986: Run 31
",269
M Azharuddin,"year 1985: Run 444
year 1986: Run 528
year 1987: Run 517
year 1988: Run 481
year 1989: Run 282
year 1990: Run 522
year 1991: Run 229
year 1992: Run 652
year 1993: Run 769
year 1994: Run 689
year 1995: Run 286
year 1996: Run 931
year 1997: Run 1104
year 1998: Run 1268
year 1999: Run 408
year 2000: Run 268
",9378
HK Badani,"year 2000: Run 239
year 2001: Run 327
year 2002: Run 89
year 2003: Run 71
year 2004: Run 141
",867
S Badrinath,"year 2008: Run 39
year 2011: Run 40
",79
SV Bahutule,"year 1997: Run 0
year 1998: Run 12
year 2003: Run 11
",23
L Balaji,"year 2002: Run -
year 2004: Run 95
year 2005: Run 18
year 2009: Run 7
",120
ST Banerjee,"year 1991: Run 6*
year 1992: Run 25*
",49
SB Bangar,"year 2002: Run 159
year 2003: Run 18
year 2004: Run 3
",180
AC Bedade,"year 1994: Run 51
",158
BS Bedi,"year 1974: Run 0
year 1975: Run 6
year 1976: Run 4
year 1978: Run 2
year 1979: Run 19
",31
A Bhandari,"year 2000: Run 0
year 2004: Run -
",0
Bhupinder Singh,"year 1994: Run 6
",6
RMH Binny,"year 1980: Run 49
year 1981: Run 143
year 1982: Run 41
year 1983: Run 173
year 1984: Run 115
year 1985: Run 31
year 1986: Run 77
year 1987: Run 0
",629
STR Binny,"year 2014: Run 40
year 2015: Run 190
",230
GK Bose,"year 1974: Run 13
",13
JJ Bumrah,"year 2016: Run 0
year 2017: Run 11
year 2018: Run 0
year 2019: Run 7
",18
YS Chahal,"year 2016: Run -
year 2017: Run 1
year 2018: Run 15
year 2019: Run 18
",34
DL Chahar,"year 2018: Run 12
",12
BS Chandrasekhar,"year 1976: Run 11*
",11
VB Chandrasekhar,"year 1988: Run 53
year 1990: Run 8
",88
U Chatterjee,"year 1995: Run 3*
",6
CPS Chauhan,"year 1978: Run 25
year 1980: Run 89
year 1981: Run 39
",153
RK Chauhan,"year 1993: Run 7
year 1994: Run 66
year 1997: Run 59
",132
PP Chawla,"year 2007: Run 20
year 2008: Run 8
year 2011: Run 10
",38
N Chopra,"year 1998: Run 61
year 1999: Run 226
year 2000: Run 23
",310
V Dahiya,"year 2000: Run 40
year 2001: Run 51
",216
SS Das,"year 2001: Run 5*
year 2002: Run 30
",39
D Dasgupta,"year 2001: Run 24*
",51
NA David,"year 1997: Run 8*
",9
P Dharmani,"year 1996: Run 8
",8
R Dhawan,"year 2016: Run 9
",12
S Dhawan,"year 2010: Run 0
year 2011: Run 69
year 2013: Run 1162
year 2014: Run 815
year 2015: Run 745
year 2016: Run 287
year 2017: Run 960
year 2018: Run 897
year 2019: Run 420
",5355
MS Dhoni,"year 2004: Run 19
year 2005: Run 895
year 2006: Run 821
year 2007: Run 1103
year 2008: Run 1097
year 2009: Run 1198
year 2010: Run 600
year 2011: Run 764
year 2012: Run 524
year 2013: Run 753
year 2014: Run 418
year 2015: Run 640
year 2016: Run 278
year 2017: Run 788
year 2018: Run 275
year 2019: Run 327
",10326
SS Dighe,"year 2000: Run 107
year 2001: Run 149
",256
AB Dinda,"year 2010: Run 18
year 2012: Run -
year 2013: Run 3
",21
DR Doshi,"year 1980: Run 2
year 1981: Run 7
year 1982: Run -
",9
R Dravid,"year 1996: Run 475
year 1997: Run 951
year 1998: Run 283
year 1999: Run 1761
year 2000: Run 980
year 2001: Run 740
year 2002: Run 913
year 2003: Run 623
year 2004: Run 1025
year 2005: Run 1092
year 2006: Run 919
year 2007: Run 823
year 2009: Run 180
year 2011: Run 124
",10768
FM Engineer,"year 1974: Run 32
year 1975: Run 54*
",114
FY Fazal,"year 2016: Run 55*
",55
AD Gaekwad,"year 1975: Run 59
year 1976: Run 16
year 1978: Run 94
year 1979: Run 54
year 1983: Run 22
year 1984: Run 12
year 1987: Run 12
",269
G Gambhir,"year 2003: Run 113
year 2005: Run 181
year 2006: Run 115
year 2007: Run 634
year 2008: Run 1119
year 2009: Run 848
year 2010: Run 670
year 2011: Run 720
year 2012: Run 685
year 2013: Run 153
",5238
DJ Gandhi,"year 1999: Run 30
year 2000: Run 13
",49
D Ganesh,"year 1997: Run 4
",4
SC Ganguly,"year 1992: Run 3
year 1996: Run 269
year 1997: Run 1338
year 1998: Run 1328
year 1999: Run 1767
year 2000: Run 1579
year 2001: Run 813
year 2002: Run 1114
year 2003: Run 756
year 2004: Run 947
year 2005: Run 209
year 2007: Run 1240
",11221
